book_id,title,author,出版社,出版时间,数,价格,ISBM,评分,评论数量,user_id
1,中国武侠小说史论,叶洪生,None,1900,None,None,9.79E+12,0,None,314
2,How to cook and eat in Chinese,杨步伟, The John Day company,1945,262,None,9.78E+12,0,None,439
3,吐鲁番考古记,黄文弼, 中国科学院出版社,1954,208,None,None,0,None,588
4,塞瓦斯托波尔故事,列夫·托尔斯泰, 新文艺出版社,1955,172,None,None,0,None,1169
5,敦煌变文集（上下集）,王重民, 人民文学出版社,1957,922,None,None,0,None,1185
6,可笑的女才子,[法] 莫里哀, 作家出版社,1957,96,None,None,0,None,2077
7,鲁迅传,石一歌, 上海人民出版社,1976,148,None,None,0,None,2487
8,中國邊疆民族與環太平洋文化,凌純聲, 聯經出版事業股份有限公司,1979,None,None,9.79E+12,0,None,2900
9,两面间谍,约翰·马斯特曼, 群众出版社,1979,182,None,None,0,None,3662
10,Lu Xun Selected Works(all 4 Volumes in slipcase),Lu Xun, Foreign Language Press,1980,None,None,9.78E+12,0,None,3922
11,战国细木工榫接合工艺研究,林壽晉, 香港中文大學出版社,1981,169,None,9.79E+12,0,None,5379
12,晚清政治思想研究,小野川秀美, 时报文化出版事业有限公司,1982,None,None,9.79E+12,0,None,5461
13,张爱玲短篇小说论集,陳炳良, 遠景,1983,156,None,9.79E+12,0,None,5885
14,鲁滨孙漂流续记,笛福, 甘肃人民出版社,1983,225,None,None,0,None,6630
15,吟风阁杂剧,[清] 杨潮观 著, 上海古籍出版社,1983,246,None,None,0,None,7563
16,Wild Grass,鲁迅/Lu Hsun, Foreign Languages Press,1985,68,None,9.78E+12,0,None,9246
17,倚天屠龙记（1-12）,None, 湖南美术出版社,1986,None,None,None,0,None,10140
18,鲁迅辑校石刻手稿,鲁迅, 上海书画出版社,1986, 3函18册,None,9.79E+12,0,None,10146
19,教训,王安, 生活 读书 心知三联出版社,1986,None,None,9.79E+12,0,None,10246
20,粥谱： 二种,"(清)曹庭栋,黄云鹄撰 ; 邱庞同注释", 中国商业出版社,1986,110,None,9.79E+12,0,None,10335
21,东条英机：东条生平和日本陆军兴亡秘史,秋定鹤造, 商务印书馆,1987,296,None,None,0,None,10610
22,男人：一本给女人看的书,(美)佩顿.贝利, 社会科学院出版社,1988,None,None,9.79E+12,0,None,10944
23,经济学家应该做什么,布坎南 J.M., 西南财经大学出版社,1988,238,None,9.79E+12,0,None,11854
24,理想的婚姻,"(英)范·德·费尔德(Van de velde,T.H.)著", 民族出版社,1989,None,None,9.79E+12,0,None,11927
25,张彻剧本选,张彻, 明窗,1989,326,None,9.79E+12,0,None,12471
26,点击上传封面图片,生田惇, 教育社,1989,111,None,9.78E+12,0,None,13282
27,表演艺术心理学,(英)格林·威尔逊, 上海文艺出版社,1989,248,None,9.79E+12,0,None,13544
28,日军侵华战争,王辅, 辽宁人民出版社,1990,2890,None,9.79E+12,0,None,15494
29,简明鲁迅词典,支克坚、李树凯编, 甘肃教育出版社,1990,637,None,9.79E+12,0,None,16377
30,广告写作的艺术,（美）丹尼斯·海金司, 中国对外经济贸易广告协会,1990,133,None,None,0,None,16913
31,谜样的三毛世界,辛力, 广西人民出版社,1991,None,None,9.79E+12,0,None,17434
32,應縣木塔遼代秘藏,山西省文物局中國歷史博物館主編, 文物出版,1991,559,None,9.79E+12,0,None,17663
33,青猿神剑白虎功,青莲子, 山东文艺出版社,1991,None,None,9.79E+12,0,None,17984
34,叔子詩稿,冒效魯, 安徽文藝,1992,145,None,9.79E+12,0,None,18031
35,鲁迅随感录,鲁迅, 海天出版社,1992,252,None,9.79E+12,0,None,18313
36,生活誌,亦舒, 天地圖書,1992,None,None,9.79E+12,0,None,18361
37,結婚性知識,日向野春總, 小暢書房,1993,None,None,9.79E+12,0,None,20076
38,千古奇情记,黄有光, 作家出版社,1993,230,None,9.79E+12,0,None,20467
39,380万军人之死,西尔枭, 民族出版社,1993,403,None,9.79E+12,0,None,20848
40,绝尘岛,None, 成都出版社,1993,898,None,9.79E+12,0,None,21228
41,38万希特勒战俘在美国,（法）达·科斯泰尔, 东方出版社,1993,221,None,9.79E+12,0,None,21487
42,男同性戀電影…,李幼新, 志文出版社,1993,None,None,9.79E+12,0,None,21713
43,西方春宫全史图览,Gilles Neret, Taschen,1994,600,None,9.78E+12,0,None,22602
44,電影詩人費里尼：雲朵的織造與吹散者,彼得．邦德內拉, 萬象圖書(股)有限公司,1995,None,None,9.79E+12,0,None,23576
45,海上花开又花落———解读张爱玲,万燕, 百花州文艺出版社,1996,None,None,9.79E+12,0,None,23612
46,丝路上消失的王国:西夏黑水城的佛教艺术,None, 国立历史博物馆,1996,None,None,9.79E+12,0,None,24326
47,汉长安城未央宫 1980—1989年考古发掘报告,None, 中国大百科全书出版社,1996,631,None,9.79E+12,0,None,24389
48,末日玫瑰雨,洪凌, 遠流出版,1996,None,None,9.79E+12,0,None,24499
49,点击上传封面图片,[加拿大] 露西·蒙哥玛利, 中国国际广播出版社,1997,None,None,9.79E+12,0,None,24834
50,大众传播法概要,(美) T.巴顿·卡特, 中国社会科学出版社,1997,327,None,9.79E+12,0,None,24845
51,寂寞高手,灵犀, 海潮出版社,1997,None,None,9.79E+12,0,None,25164
52,议会之母,蒋劲松, 中国民主法制出版社,1998,None,None,9.79E+12,0,None,25182
53,美国电子战史,[英] 阿尔弗雷德.普赖斯, 总参谋部第四部,1999,1800,None,9.79E+12,0,None,25214
54,金庸小說與二十世紀中國文學國際學術研討會論文集,林丽君编辑, 明河社出版有限公司,2000,None,None,9.79E+12,0,None,26145
55,洪诺留三世的大魔法书,Pope Honorius III, Trident Books,2000,125,None,9.78E+12,0,None,26629
56,鹿鼎記 1,林政德, 明河（創文）出版有限公司,2001,None,None,9.79E+12,0,None,26661
57,柏林日記,瑪麗?瓦西契可夫, 麥田出版,2001,400,None,9.79E+12,0,None,28158
58,女傀儡,Catherine Arley, 轻舟出版社,2002,240,None,9.79E+12,0,None,28767
59,名家文学经典,None, 中国戏剧出版社,2003,None,None,9.79E+12,0,None,29123
60,自由主義與中國現代性的思考：「中國近現代思想的演變」研討會論文集﹝下﹞,劉擎、關小春 編, 香港中文大学出版社,2003,None,None,9.79E+12,0,None,29703
61,Body Language,Julius Fast, MJF Books,2003,None,None,9.78E+12,0,None,30681
62,路史,（宋）罗泌, 北京图书馆出版社,2003,65,None,9.79E+12,0,None,31001
